Image,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8
2025-10-17 datasets10_23k_margin_390step,0,1,0,0,0,0,1,0
2025-10-15 jitter0_seed20 (1),0,1,0,0,0,0,0,0
2025-10-15 jitter3_seed20 (1),0,1,0,0,0,0,0,0
2025-10-21 qwen_25_32b_23k_margin_499 (1),0,1,0,0,0,0,0,0
2025-10-15 jitter3_seed20_2 (1),0,1,0,0,0,0,0,0
2025-10-17 bigrun_190,0,1,0,0,0,0,0,0
2025-10-17 datasets10_23k_ce_110step,0,1,0,0,0,0,0,0
2025-10-21 qwen_25_32b_23k_margin_499_2 (1),0,1,0,0,0,0,1,0
no_image,0,1,0,0,0,0,0,0
