Image,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8
2025-10-17 datasets10_23k_margin_390step,655.36,100.0,163.79999999999998,2272.6,0.13,17.91,100.0,0.2976190476190476
2025-10-15 jitter0_seed20 (1),655.36,100.0,163.79999999999998,3276.8,0.13,81.92,1.0,0.1984126984126984
2025-10-15 jitter3_seed20 (1),655.36,100.0,41.8,1219.8,0.21,81.92,99.0,0.11904761904761905
2025-10-21 qwen_25_32b_23k_margin_499 (1),655.36,100.0,68.7,3276.8,0.13,81.92,1.0,0.1984126984126984
2025-10-15 jitter3_seed20_2 (1),655.36,100.0,163.79999999999998,3276.8,0.11,81.92,1.0,0.5555555555555556
2025-10-17 bigrun_190,655.36,100.0,126.29999999999998,3276.8,0.13,81.92,1.0,0.0992063492063492
2025-10-17 datasets10_23k_ce_110step,655.36,100.0,163.79999999999998,3276.8,0.12,81.92,1.0,0.2777777777777778
2025-10-21 qwen_25_32b_23k_margin_499_2 (1),655.36,100.0,58.5,3276.8,0.12,81.92,100.0,1.1904761904761905
no_image,655.36,100.0,163.79999999999998,3276.8,0.13,81.92,1.0,1.1111111111111112
