Image,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8
2025-10-17 datasets10_23k_margin_390step,655.36,100.0,163.79999999999998,3276.8,0.13,81.92,1.0,0.1984126984126984
2025-10-15 jitter0_seed20 (1),655.36,100.0,163.79999999999998,3276.8,0.13,81.92,1.0,0.1984126984126984
2025-10-15 jitter3_seed20 (1),655.36,100.0,163.79999999999998,3276.8,0.13,81.92,1.0,0.2380952380952381
2025-10-21 qwen_25_32b_23k_margin_499 (1),655.36,100.0,163.79999999999998,3276.8,0.13,81.92,1.0,0.2579365079365079
2025-10-15 jitter3_seed20_2 (1),655.36,100.0,163.79999999999998,3276.8,0.13,81.92,1.0,0.1984126984126984
2025-10-17 bigrun_190,655.36,100.0,163.79999999999998,3276.8,0.13,81.92,1.0,0.376984126984127
2025-10-17 datasets10_23k_ce_110step,655.36,100.0,163.79999999999998,3276.8,0.12,81.92,1.0,0.1388888888888889
2025-10-21 qwen_25_32b_23k_margin_499_2 (1),655.36,100.0,163.79999999999998,3276.8,0.12,81.92,1.0,1.0119047619047619
no_image,655.36,100.0,163.79999999999998,3276.8,0.13,81.92,1.0,0.2380952380952381
